id;name;family;birthday;pub_date;gender;breed;shelter;taken_home;in_favorites;take_a_walk;take_a_home;visit_counter;raiting
1;______;cat;23.09.2015;None;female;___ ______;1;TRUE;0;0;1;0;0
2;____;cat;03.03.2000;None;female;____-___;2;TRUE;0;0;1;0;0
3;______;cat;01.07.2015;None;female;___ ______;3;TRUE;0;0;1;0;0
4;______;cat;01.11.2013;None;male;___ ______;1;TRUE;0;0;1;0;0
5;_______;cat;01.04.2015;None;male;___ ______;1;TRUE;1;0;1;0;0
7;_____;cat;01.12.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
8;_____;cat;01.04.2014;None;male;___ ______;4;TRUE;0;0;1;0;0
9;____;cat;08.11.2013;None;female;___ ______;5;TRUE;0;0;1;0;0
10;____;cat;01.04.2015;None;female;___ ______;1;TRUE;0;0;1;0;0
11;_______;cat;08.05.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
12;____;cat;01.10.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
13;______;cat;09.01.2014;None;female;___ ______;1;TRUE;0;0;1;0;0
14;____;cat;10.05.2006;None;male;___ ______;4;TRUE;0;0;1;0;0
15;_______;cat;02.12.2014;None;female;___ ______;1;TRUE;0;0;1;0;0
16;______;cat;01.06.2015;None;male;___ ______;4;TRUE;0;0;1;0;0
17;______;dog;08.05.2009;None;female;________ _______;3;FALSE;2;0;0;0;0
18;______;cat;02.12.2015;None;female;___ ______;1;TRUE;0;0;1;0;0
19;_____;cat;08.05.2015;None;female;___ ______;1;TRUE;0;0;1;0;0
20;______;cat;12.06.2013;None;male;___ ______;1;TRUE;0;0;1;0;0
21;____;cat;12.06.2003;None;female;___ ______;4;FALSE;0;0;0;0;0
22;_______;cat;10.07.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
23;_______;cat;01.08.2014;None;female;___ ______;1;TRUE;16;0;1;0;0
24;_______;cat;30.09.2015;None;female;___ ______;1;TRUE;0;0;1;0;0
25;________;cat;06.08.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
26;______;cat;15.01.2015;None;female;________;1;TRUE;0;0;1;0;0
27;________;cat;08.07.2015;None;female;___ ______;5;TRUE;0;1;1;0;0
28;__________;cat;06.05.2015;None;female;___ ______;1;TRUE;0;0;1;0;0
29;______;cat;12.02.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
30;____;cat;19.01.2012;None;female;___ ______;1;TRUE;0;0;1;0;0
31;______;cat;01.09.2014;None;male;___ ______;4;TRUE;0;0;1;0;0
32;______;cat;09.07.2014;None;female;___ ______;4;TRUE;0;0;1;0;0
33;_______;cat;20.08.2015;None;female;___ ______;4;TRUE;0;0;1;0;0
34;____;cat;05.01.2016;None;female;___ ______;5;TRUE;0;0;1;0;0
35;_______;cat;01.06.2010;None;male;________;1;TRUE;0;0;1;0;0
36;____;cat;13.08.2008;None;female;___ ______;1;TRUE;0;0;1;0;0
37;____;cat;18.07.2013;None;male;___ ______;4;TRUE;0;0;1;0;0
38;_____;cat;17.10.2013;None;male;___ ______;4;TRUE;0;0;1;0;0
39;_______;cat;29.08.2014;None;male;___ ______;4;TRUE;0;0;1;0;0
40;_______;cat;14.04.2015;None;male;___ ______;1;TRUE;0;0;1;0;0
41;________;cat;03.09.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
42;_______;cat;02.03.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
43;_____;cat;09.09.2014;None;female;___ ______;5;TRUE;0;0;1;0;0
44;______;cat;11.03.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
45;______;cat;29.08.2014;None;female;___ ______;5;TRUE;0;2;1;0;0
46;________;cat;29.08.2014;None;female;___ ______;5;TRUE;16;1;1;0;0
47;_____;cat;25.09.2014;None;female;___ ______;5;TRUE;19;3;1;0;0
48;_____;cat;14.08.2014;None;male;___ ______;4;TRUE;12;0;1;0;0
49;_____;cat;24.08.2011;None;female;___ ______;5;TRUE;0;1;1;0;0
50;_______;cat;18.03.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
51;______;cat;12.09.2013;None;female;___ ______;5;TRUE;1;0;1;0;0
52;______;cat;22.01.2016;None;male;___ ______;5;TRUE;0;0;1;0;0
53;________;cat;12.03.2015;None;female;___ ______;5;TRUE;2;0;1;0;0
54;_______;cat;21.06.2014;None;female;___ ______;5;TRUE;18;2;1;0;0
55;_______;cat;29.08.2013;None;female;___ ______;5;TRUE;0;0;1;0;0
56;______;cat;02.09.2014;None;female;___ ______;5;TRUE;1;0;1;0;0
57;_____;cat;09.09.2015;None;female;___ ______;5;TRUE;0;0;1;0;0
