id service;услуга;service category id
1;"Вакцина для иммунитета ""Пуревакс""";1
2;"Препарат от блох и клещей ""Стронгхолд""";1
3;"Глистогонное ""Мильбемакс"" (улучшенное)";1
4;Пуревакс: вакцина для кошки (улучшенная);1
5;Стерилизация;1
6;"Капли от блох и клещей ""Стронгхолд""";1
7;Палочки МНЯМС для котят с индейкой;2
8;ProPlan для котят 2-12 месяцев;2
9;Корм с курицей и рисом (1 порция);2
10;"Игрушка для кошек ""Танцующая дразнилка""";3
11;Наполнитель для туалета;4
12;Кошачья миска для корма;4
13;Наполнитель для туалета (1 порция);4
14;Хрустящие подушечки, 1 порция;2
15;Общий медицинский осмотр питомца;1
16;"Игрушка для кошки ""Зооник Шуршик""";3
17;"Средство для чистки ушей ""Отифри""";1
18;Нобивак: вакцина для кошки;1
19;Вакцина против вируса;1
20;Баночка вкусного желе;2
21;Кастрация кота;1
22;Вакцина против вирусов;1
23;1 порция вкуснейшего корма;2
24;Глистогонное Каниквантел;1
25;Кастрация;1
26;"Паштет для котят ""Royal Canin""";2
27;Избавить кошечку от глистов;1
28;Избавить кошечку от блох и клешей;1
29;Стоморджил (для лечения зубов);1
30;Избавить Айву от глистов;1
31;Стерилизация Айвы;1
32;Стерилизация Эвелины;1
33;Избавить Айву от блох и клещей;1
34;Защитить Айву от вирусов;1
35;Избавить Эвелин от глистов;1
36;Избавить Эвелин от блох и клещей;1
37;Защитить Эвелин от вирусов;1
38;Защитить Алексу от блох и клещей!;1
39;Защитить иммунитет Луны;1
40;Избавить Алексу от глистов;1
41;Защитить Алексу от вирусов;1
42;"Лечебный корм Ренал ""Роял Канин""";2
43;Стерилизация Ванессы;1
44;Защитить Ванессу от вирусов;1
45;Избавить Ванессу от глистов;1
46;Защитить Ванессу от вирусов (Оплачено);1
47;Избавить Кузю от инфекций;1
48;Защитить Алексу от блох и клещей (Оплачено);1
49;Стерилизация Ванессы (Оплачено);1
50;Избавить Ванессу от глистов (Оплачено);1
51;"Игрушка для Тимоши ""Танцующая дразнилка"" (Оплачено)";3
52;"Игрушка для Кузи ""Танцующая дразнилка""";3
53;Избавить Кузю от инфекций (Оплачено);1
54;"Игрушка для Тигры ""Танцующая дразнилка"" (Оплачено)";3
55;Защитить Тигру от вирусов (Оплачено);1
56;"Игрушка для Айвы ""Танцующая дразнилка"" (Оплачено)";3
57;Избавить Эвелин от блох и клещей (Оплачено);1
58;"Игрушка для Эвелин ""Танцующая дразнилка"" (Оплачено)";3
59;"Игрушка для кошки ""Зооник Шуршит"" (Оплачено)";3
60;Избавить Айву от глистов (Оплачено);1
61;Биохимия крови;1
62;Содержание Бабули на лечении;1
63;Специализированный корм для Бабули;2
64;"Игрушка для Алексы ""Танцующая дразнилка"" (Оплачено)";3
65;Избавить Алексу от глистов (Оплачено);1
66;"Игрушка для Кузи ""Танцующая дразнилка"" (Оплачено)";3
67;"Игрушка для Ванессы ""Танцующая дразнилка"" (Оплачено)";3
68;Избавить Бритни от блох и клещей;1
69;Избавить Бабулю от блох и клещей;1
70;Стерилизация Бритни;1
71;Стерилизация Саджи;1
72;Избавить Бритни от глистов;1
73;Защитить Бритни от вирусов;1
74;Избавить Саджи от блох и клещей;1
75;Избавить Патрика от блох и клещей;1
76;Избавить от кошачьего герпеса;1
77;Защитить Саджи от вирусов;1
78;Избавить Саджи от глистов;1
79;Кастрация Патрика;1
80;Защитить Патрика от вирусов;1
81;Избавить Патрика от глистов;1
82;Стерилизация Софы;1
83;Стерилизация Паприки;1
84;Стерилизация Сансары;1
85;Избавить Паприку от глистов;1
86;Избавить Паприку от блох и клещей;1
87;Защитить Паприку от вирусов;1
88;Избавить Джемму от глистов;1
89;Защитить Джемму от вирусов;1
90;Избавить Джемму от блох;1
91;Избавить Сансару от блох;1
