id;shelter_name;id города;adress
1;"Самарский приют для животных ""НадеждА""";9;None
2;Ковчег;11;None
3;"Стационар для Животных ""Сен Бернар""";9;None
4;Матроскин;8;None
5;"Частный Московский приют ""МУРКОША""";6;None
6;Мокрый нос;4;None
7;Республика кошек;10;None
8;Республика котов;10;None
9;Реабилитационный центр ЗОО Дом;5;None
10;"Кошачий приют ""ДОМИК""";1;None
11;ФлагманВет;9;None
12;Котофей;8;None
13;Люськин дом;3;None
14;Кот и Пёс;3;None
15;Центральный приют Спб для бездомных кошек!;10;None
16;"Приют для кошек ""ЯрКот""";13;None
17;Шереметьевский приют;6;None
18;"Приют для кошек ""Потеряшка""";10;None
19;Лёхин дом;2;None
20;Убежище;10;None
21;Добрые сердца;7;None
22;4 лапы;10;None
23;Лаюшки и Мяушки;6;None
24;Котланд-Ярд;10;None
