id transaction;user_id;pet id;service id;currency;donation;service category id
5944;1;1;10;rub;95;3
5945;1;1;16;rub;45;3
5946;1;1;592;rub;30;2
5947;2;1;592;rub;30;2
5948;2;1;592;rub;30;2
5949;2;2;593;rub;54;4
5950;2;2;29;rub;100;1
5951;2;2;11;rub;15;4
5952;2;2;11;rub;2;4
5953;2;1;592;rub;30;2
5954;2;1;5;rub;2500;1
5956;2;2;593;rub;54;4
5957;2;2;594;rub;60;2
5958;3;2;29;rub;100;1
5959;3;2;595;rub;700;4
5960;3;2;29;rub;100;1
5961;3;2;29;rub;100;1
5962;3;2;593;rub;1;4
5963;3;5;6;rub;85;1
5964;3;3;4;rub;45;1
5965;3;4;3;rub;30;1
5966;3;4;3;rub;300;1
5967;3;5;16;rub;75;3
5968;4;3;8;rub;30;2
5969;4;4;10;rub;120;3
5970;4;5;25;rub;1000;1
5971;4;4;21;rub;1000;1
5972;4;3;4;rub;45;1
5973;4;3;5;rub;50;1
5973;4;3;483;rub;30;1
5974;4;4;9;rub;30;2
5974;4;4;17;rub;35;1
5974;4;4;11;rub;15;4
5974;4;4;3;rub;30;1
5974;4;5;9;rub;30;2
5974;4;5;17;rub;35;1
5974;4;5;11;rub;15;4
5974;4;3;8;rub;30;2
5974;4;3;13;rub;20;4
5975;4;5;1;rub;45;1
5976;4;5;9;rub;30;2
5976;4;5;6;rub;85;1
5977;4;3;4;rub;225;1
5978;5;3;4;rub;45;1
5979;5;4;17;rub;35;1
5979;5;4;11;rub;15;4
5979;5;5;9;rub;30;2
5979;5;5;11;rub;15;4
5979;5;3;8;rub;30;2
5979;5;3;13;rub;20;4
5980;5;5;6;rub;85;1
5981;5;5;9;rub;30;2
5982;5;3;483;rub;30;1
5983;5;3;4;rub;45;1
5984;5;5;1;rub;45;1
5985;5;3;2;rub;170;1
5986;5;4;3;rub;30;1
5987;5;3;4;rub;90;1
5988;6;4;3;rub;30;1
5989;6;3;4;rub;45;1
5989;6;3;5;rub;50;1
5989;6;3;2;rub;85;1
5990;6;3;5;rub;100;1
5991;6;5;6;rub;85;1
5992;6;3;7;rub;54;2
5993;6;3;8;rub;30;2
5994;6;3;4;rub;45;1
5995;6;5;6;rub;85;1
5996;6;4;9;rub;150;2
5997;6;5;9;rub;150;2
5997;6;3;8;rub;150;2
5998;7;3;5;rub;200;1
5999;7;4;10;rub;120;3
5999;7;4;11;rub;45;4
5999;7;5;10;rub;120;3
5999;7;5;11;rub;45;4
5999;7;3;12;rub;115;4
5999;7;3;13;rub;60;4
6000;7;5;1;rub;45;1
6001;7;4;9;rub;30;2
6001;7;4;14;rub;30;2
6002;7;5;1;rub;45;1
6003;7;5;6;rub;255;1
6004;7;4;9;rub;60;2
6005;7;3;15;rub;100;1
6006;7;5;6;rub;85;1
6006;7;5;1;rub;45;1
6007;7;3;5;rub;50;1
6008;8;5;6;rub;85;1
6009;8;3;5;rub;50;1
6010;8;4;9;rub;150;2
6010;8;4;16;rub;75;3
6010;8;4;17;rub;35;1
6010;8;4;11;rub;45;4
6010;8;4;18;rub;200;1
6010;8;4;3;rub;30;1
6010;8;5;9;rub;150;2
6010;8;5;16;rub;75;3
6010;8;5;11;rub;45;4
6010;8;5;18;rub;200;1
6010;8;5;3;rub;200;1
6010;8;3;8;rub;150;2
6010;8;3;13;rub;60;4
6010;8;3;15;rub;200;1
6011;8;5;6;rub;85;1
6012;8;3;5;rub;100;1
6013;8;5;6;rub;85;1
6014;8;3;7;rub;54;2
6015;8;3;5;rub;50;1
6016;8;3;8;rub;30;2
6017;8;5;13;rub;15;4
6017;8;5;1;rub;45;1
6018;9;8;19;rub;35;1
6019;9;8;20;rub;45;2
6019;9;8;21;rub;50;1
6019;9;8;13;rub;15;4
6020;9;7;22;rub;35;1
6020;9;7;23;rub;30;2
6021;9;9;9;rub;30;2
6022;9;9;5;rub;50;1
6023;9;3;13;rub;20;4
6024;9;9;5;rub;50;1
6025;9;4;3;rub;30;1
6025;9;9;13;rub;15;4
6026;9;3;5;rub;50;1
6027;9;5;1;rub;45;1
6028;10;7;22;rub;35;1
6029;10;8;19;rub;35;1
6030;10;3;16;rub;75;3
6031;10;8;23;rub;30;2
6032;10;4;9;rub;30;2
6033;10;7;22;rub;35;1
6034;10;8;19;rub;35;1
6035;10;5;9;rub;30;2
6036;10;3;5;rub;50;1
6037;10;4;13;rub;15;4
6038;11;9;5;rub;50;1
6039;11;8;19;rub;35;1
6040;11;7;22;rub;35;1
6041;11;3;8;rub;30;2
6041;11;3;13;rub;20;4
6041;11;3;2;rub;85;1
6042;11;5;9;rub;30;2
6042;11;5;13;rub;15;4
6042;11;5;1;rub;45;1
6043;11;9;9;rub;30;2
6043;11;9;13;rub;15;4
6043;11;9;5;rub;50;1
6044;11;5;1;rub;90;1
6045;11;4;9;rub;30;2
6045;11;4;17;rub;35;1
6045;11;4;13;rub;15;4
6046;11;8;21;rub;50;1
6046;11;8;13;rub;15;4
6046;11;8;23;rub;30;2
6047;11;5;1;rub;90;1
6048;12;8;19;rub;35;1
6049;12;7;22;rub;210;1
6050;12;5;9;rub;30;2
6051;12;8;23;rub;30;2
6052;12;3;5;rub;50;1
6053;12;8;19;rub;35;1
6054;12;8;19;rub;35;1
6055;12;8;20;rub;45;2
6055;12;8;13;rub;15;4
6055;12;8;23;rub;30;2
6055;12;9;9;rub;30;2
6055;12;9;20;rub;54;2
6055;12;9;13;rub;15;4
6057;12;8;21;rub;50;1
6058;12;7;23;rub;30;2
6059;13;5;9;rub;30;2
6060;13;4;9;rub;30;2
6061;13;4;13;rub;30;4
6062;13;4;9;rub;30;2
6063;13;3;5;rub;50;1
6064;13;7;23;rub;30;2
6065;13;3;5;rub;50;1
6066;13;8;19;rub;35;1
6067;13;9;9;rub;30;2
6068;13;5;14;rub;30;2
6069;14;4;9;rub;30;2
6070;14;3;15;rub;100;1
6071;14;8;21;rub;50;1
6073;14;3;2;rub;255;1
6074;14;3;13;rub;60;4
6075;14;8;19;rub;35;1
6076;14;4;9;rub;90;2
